,0
Unnamed: 0,20.818181818181817
L.BSTS,0.3382136594610728
L.CACG,-0.3849500459320673
L.CMFG,-0.8432844014159412
L.CU,0.03434654663633508
L.EC,0.7658480335593745
L.FG,1.2683801660267282
L.IPG,-0.26848370444137193
L.ITG,0.9930190567535351
L.ICG,-0.8758637727606454
L.LOG,0.12552457564442543
L.LOFG,0.40965596198835624
L.LG,0.24331651091152529
L.MOFG,0.5259429241910419
L.MTG,0.29618792563256924
L.PHIG,0.15291368358327737
L.PaCG,0.11737502970602987
L.POP,-0.9428354895072805
L.POR,0.46747247485937604
L.PTR,-0.09853867890537202
L.PCAL,0.28411223489605447
L.PoCG,-0.4417179342903952
L.PCG,-0.4319170344221476
L.PrCG,-0.7351799104473895
L.PCU,0.3200651790693827
L.RACG,-0.11469788125622919
L.RMFG,0.1232209822286523
L.SFG,-1.1900225094141066
L.SPG,-0.4365896256925218
L.STG,0.4467690262315225
L.SMG,-0.5516663310975259
L.FP,0.10325912185053081
L.TP,0.44856456374978004
L.TTG,0.261881956045671
L.IN,0.5573686977126944
R.BSTS,-0.07742898745028236
R.CACG,-0.402508585900697
R.CMFG,-1.0486004461073102
R.CU,0.23268974683699029
R.EC,0.5424786143038222
R.FG,1.745671620488276
R.IPG,-0.1924765541936595
R.ITG,0.5595960022438221
R.ICG,-0.9710598024779629
R.LOG,0.2314163805919556
R.LOFG,1.061155523457746
R.LG,-0.05644926729846007
R.MOFG,0.4416345646495969
R.MTG,0.020231484234104268
R.PHIG,0.1750757660653456
R.PaCG,0.4471655802274354
R.POP,-0.8717198191992558
R.POR,0.7155306639967978
R.PTR,0.15283563072943848
R.PCAL,-0.09144280050293548
R.PoCG,-0.32843158285976753
R.PCG,0.0998017096004299
R.PrCG,-0.5561628277049463
R.PCU,0.2672244731438385
R.RACG,0.14939655020174147
R.RMFG,-0.2085830664584161
R.SFG,-1.1970483895477302
R.SPG,-0.540512055873346
R.STG,-0.17183323198618428
R.SMG,-0.3677233819935448
R.FP,-0.4062091476546294
R.TP,0.0026718722511257205
R.TTG,-0.4508472462156378
R.IN,0.5147229442421009
age,25.0
